loiczid,lat,lon
82936,32.25,-112.25
82935,32.25,-112.75
82216,32.75,-112.25
82215,32.75,-112.75
82934,32.25,-113.25
82933,32.25,-113.75
82214,32.75,-113.25
82213,32.75,-113.75
82932,32.25,-114.25
82931,32.25,-114.75
82212,32.75,-114.25
82211,32.75,-114.75
81496,33.25,-112.25
81495,33.25,-112.75
80776,33.75,-112.25
80775,33.75,-112.75
81494,33.25,-113.25
81493,33.25,-113.75
80774,33.75,-113.25
80773,33.75,-113.75
81492,33.25,-114.25
81491,33.25,-114.75
80772,33.75,-114.25
80771,33.75,-114.75
80056,34.25,-112.25
80055,34.25,-112.75
79336,34.75,-112.25
79335,34.75,-112.75
80054,34.25,-113.25
80053,34.25,-113.75
79334,34.75,-113.25
79333,34.75,-113.75
80052,34.25,-114.25
80051,34.25,-114.75
79332,34.75,-114.25
79331,34.75,-114.75
82930,32.25,-115.25
82929,32.25,-115.75
82210,32.75,-115.25
82209,32.75,-115.75
82928,32.25,-116.25
82927,32.25,-116.75
82208,32.75,-116.25
82207,32.75,-116.75
82926,32.25,-117.25
82925,32.25,-117.75
82206,32.75,-117.25
82205,32.75,-117.75
82924,32.25,-118.25
82923,32.25,-118.75
82204,32.75,-118.25
82203,32.75,-118.75
82922,32.25,-119.25
82921,32.25,-119.75
82202,32.75,-119.25
82201,32.75,-119.75
81490,33.25,-115.25
81489,33.25,-115.75
80770,33.75,-115.25
80769,33.75,-115.75
81488,33.25,-116.25
81487,33.25,-116.75
80768,33.75,-116.25
80767,33.75,-116.75
81486,33.25,-117.25
81485,33.25,-117.75
80766,33.75,-117.25
80765,33.75,-117.75
81484,33.25,-118.25
81483,33.25,-118.75
80764,33.75,-118.25
80763,33.75,-118.75
81482,33.25,-119.25
81481,33.25,-119.75
80762,33.75,-119.25
80761,33.75,-119.75
80050,34.25,-115.25
80049,34.25,-115.75
79330,34.75,-115.25
79329,34.75,-115.75
80048,34.25,-116.25
80047,34.25,-116.75
79328,34.75,-116.25
79327,34.75,-116.75
80046,34.25,-117.25
80045,34.25,-117.75
79326,34.75,-117.25
79325,34.75,-117.75
80044,34.25,-118.25
80043,34.25,-118.75
79324,34.75,-118.25
79323,34.75,-118.75
80042,34.25,-119.25
80041,34.25,-119.75
79322,34.75,-119.25
79321,34.75,-119.75
78616,35.25,-112.25
78615,35.25,-112.75
77896,35.75,-112.25
77895,35.75,-112.75
78614,35.25,-113.25
78613,35.25,-113.75
77894,35.75,-113.25
77893,35.75,-113.75
78612,35.25,-114.25
78611,35.25,-114.75
77892,35.75,-114.25
77891,35.75,-114.75
77176,36.25,-112.25
77175,36.25,-112.75
76456,36.75,-112.25
76455,36.75,-112.75
77174,36.25,-113.25
77173,36.25,-113.75
76454,36.75,-113.25
76453,36.75,-113.75
77172,36.25,-114.25
77171,36.25,-114.75
76452,36.75,-114.25
76451,36.75,-114.75
75736,37.25,-112.25
75735,37.25,-112.75
75016,37.75,-112.25
75015,37.75,-112.75
75734,37.25,-113.25
75733,37.25,-113.75
75014,37.75,-113.25
75013,37.75,-113.75
75732,37.25,-114.25
75731,37.25,-114.75
75012,37.75,-114.25
75011,37.75,-114.75
74296,38.25,-112.25
74295,38.25,-112.75
73576,38.75,-112.25
73575,38.75,-112.75
74294,38.25,-113.25
74293,38.25,-113.75
73574,38.75,-113.25
73573,38.75,-113.75
74292,38.25,-114.25
74291,38.25,-114.75
73572,38.75,-114.25
73571,38.75,-114.75
72856,39.25,-112.25
72855,39.25,-112.75
72136,39.75,-112.25
72135,39.75,-112.75
72854,39.25,-113.25
72853,39.25,-113.75
72134,39.75,-113.25
72133,39.75,-113.75
72852,39.25,-114.25
72851,39.25,-114.75
72132,39.75,-114.25
72131,39.75,-114.75
78610,35.25,-115.25
78609,35.25,-115.75
77890,35.75,-115.25
77889,35.75,-115.75
78608,35.25,-116.25
78607,35.25,-116.75
77888,35.75,-116.25
77887,35.75,-116.75
78606,35.25,-117.25
78605,35.25,-117.75
77886,35.75,-117.25
77885,35.75,-117.75
78604,35.25,-118.25
78603,35.25,-118.75
77884,35.75,-118.25
77883,35.75,-118.75
78602,35.25,-119.25
78601,35.25,-119.75
77882,35.75,-119.25
77881,35.75,-119.75
77170,36.25,-115.25
77169,36.25,-115.75
76450,36.75,-115.25
76449,36.75,-115.75
77168,36.25,-116.25
77167,36.25,-116.75
76448,36.75,-116.25
76447,36.75,-116.75
77166,36.25,-117.25
77165,36.25,-117.75
76446,36.75,-117.25
76445,36.75,-117.75
77164,36.25,-118.25
77163,36.25,-118.75
76444,36.75,-118.25
76443,36.75,-118.75
77162,36.25,-119.25
77161,36.25,-119.75
76442,36.75,-119.25
76441,36.75,-119.75
75730,37.25,-115.25
75729,37.25,-115.75
75010,37.75,-115.25
75009,37.75,-115.75
75728,37.25,-116.25
75727,37.25,-116.75
75008,37.75,-116.25
75007,37.75,-116.75
75726,37.25,-117.25
75725,37.25,-117.75
75006,37.75,-117.25
75005,37.75,-117.75
75724,37.25,-118.25
75723,37.25,-118.75
75004,37.75,-118.25
75003,37.75,-118.75
75722,37.25,-119.25
75721,37.25,-119.75
75002,37.75,-119.25
75001,37.75,-119.75
74290,38.25,-115.25
74289,38.25,-115.75
73570,38.75,-115.25
73569,38.75,-115.75
74288,38.25,-116.25
74287,38.25,-116.75
73568,38.75,-116.25
73567,38.75,-116.75
74286,38.25,-117.25
74285,38.25,-117.75
73566,38.75,-117.25
73565,38.75,-117.75
74284,38.25,-118.25
74283,38.25,-118.75
73564,38.75,-118.25
73563,38.75,-118.75
74282,38.25,-119.25
74281,38.25,-119.75
73562,38.75,-119.25
73561,38.75,-119.75
72850,39.25,-115.25
72849,39.25,-115.75
72130,39.75,-115.25
72129,39.75,-115.75
72848,39.25,-116.25
72847,39.25,-116.75
72128,39.75,-116.25
72127,39.75,-116.75
72846,39.25,-117.25
72845,39.25,-117.75
72126,39.75,-117.25
72125,39.75,-117.75
72844,39.25,-118.25
72843,39.25,-118.75
72124,39.75,-118.25
72123,39.75,-118.75
72842,39.25,-119.25
72841,39.25,-119.75
72122,39.75,-119.25
72121,39.75,-119.75
82920,32.25,-120.25
82919,32.25,-120.75
82200,32.75,-120.25
82199,32.75,-120.75
82918,32.25,-121.25
82917,32.25,-121.75
82198,32.75,-121.25
82197,32.75,-121.75
82916,32.25,-122.25
82915,32.25,-122.75
82196,32.75,-122.25
82195,32.75,-122.75
82914,32.25,-123.25
82913,32.25,-123.75
82194,32.75,-123.25
82193,32.75,-123.75
82912,32.25,-124.25
82911,32.25,-124.75
82192,32.75,-124.25
82191,32.75,-124.75
81480,33.25,-120.25
81479,33.25,-120.75
80760,33.75,-120.25
80759,33.75,-120.75
81478,33.25,-121.25
81477,33.25,-121.75
80758,33.75,-121.25
80757,33.75,-121.75
81476,33.25,-122.25
81475,33.25,-122.75
80756,33.75,-122.25
80755,33.75,-122.75
81474,33.25,-123.25
81473,33.25,-123.75
80754,33.75,-123.25
80753,33.75,-123.75
81472,33.25,-124.25
81471,33.25,-124.75
80752,33.75,-124.25
80751,33.75,-124.75
80040,34.25,-120.25
80039,34.25,-120.75
79320,34.75,-120.25
79319,34.75,-120.75
80038,34.25,-121.25
80037,34.25,-121.75
79318,34.75,-121.25
79317,34.75,-121.75
80036,34.25,-122.25
80035,34.25,-122.75
79316,34.75,-122.25
79315,34.75,-122.75
80034,34.25,-123.25
80033,34.25,-123.75
79314,34.75,-123.25
79313,34.75,-123.75
80032,34.25,-124.25
80031,34.25,-124.75
79312,34.75,-124.25
79311,34.75,-124.75
82910,32.25,-125.25
82909,32.25,-125.75
82190,32.75,-125.25
82189,32.75,-125.75
81470,33.25,-125.25
81469,33.25,-125.75
80750,33.75,-125.25
80749,33.75,-125.75
80030,34.25,-125.25
80029,34.25,-125.75
79310,34.75,-125.25
79309,34.75,-125.75
78600,35.25,-120.25
78599,35.25,-120.75
77880,35.75,-120.25
77879,35.75,-120.75
78598,35.25,-121.25
78597,35.25,-121.75
77878,35.75,-121.25
77877,35.75,-121.75
78596,35.25,-122.25
78595,35.25,-122.75
77876,35.75,-122.25
77875,35.75,-122.75
78594,35.25,-123.25
78593,35.25,-123.75
77874,35.75,-123.25
77873,35.75,-123.75
78592,35.25,-124.25
78591,35.25,-124.75
77872,35.75,-124.25
77871,35.75,-124.75
77160,36.25,-120.25
77159,36.25,-120.75
76440,36.75,-120.25
76439,36.75,-120.75
77158,36.25,-121.25
77157,36.25,-121.75
76438,36.75,-121.25
76437,36.75,-121.75
77156,36.25,-122.25
77155,36.25,-122.75
76436,36.75,-122.25
76435,36.75,-122.75
77154,36.25,-123.25
77153,36.25,-123.75
76434,36.75,-123.25
76433,36.75,-123.75
77152,36.25,-124.25
77151,36.25,-124.75
76432,36.75,-124.25
76431,36.75,-124.75
75720,37.25,-120.25
75719,37.25,-120.75
75000,37.75,-120.25
74999,37.75,-120.75
75718,37.25,-121.25
75717,37.25,-121.75
74998,37.75,-121.25
74997,37.75,-121.75
75716,37.25,-122.25
75715,37.25,-122.75
74996,37.75,-122.25
74995,37.75,-122.75
75714,37.25,-123.25
75713,37.25,-123.75
74994,37.75,-123.25
74993,37.75,-123.75
75712,37.25,-124.25
75711,37.25,-124.75
74992,37.75,-124.25
74991,37.75,-124.75
74280,38.25,-120.25
74279,38.25,-120.75
73560,38.75,-120.25
73559,38.75,-120.75
74278,38.25,-121.25
74277,38.25,-121.75
73558,38.75,-121.25
73557,38.75,-121.75
74276,38.25,-122.25
74275,38.25,-122.75
73556,38.75,-122.25
73555,38.75,-122.75
74274,38.25,-123.25
74273,38.25,-123.75
73554,38.75,-123.25
73553,38.75,-123.75
74272,38.25,-124.25
74271,38.25,-124.75
73552,38.75,-124.25
73551,38.75,-124.75
72840,39.25,-120.25
72839,39.25,-120.75
72120,39.75,-120.25
72119,39.75,-120.75
72838,39.25,-121.25
72837,39.25,-121.75
72118,39.75,-121.25
72117,39.75,-121.75
72836,39.25,-122.25
72835,39.25,-122.75
72116,39.75,-122.25
72115,39.75,-122.75
72834,39.25,-123.25
72833,39.25,-123.75
72114,39.75,-123.25
72113,39.75,-123.75
72832,39.25,-124.25
72831,39.25,-124.75
72112,39.75,-124.25
72111,39.75,-124.75
78590,35.25,-125.25
78589,35.25,-125.75
77870,35.75,-125.25
