am_sid,binomial
fis-29291,argyropelecus affinis
fis-139729,melanolagus bericoides
fis-22215,coryphaena hippurus
fis-29358,coryphaena equiselis
fis-22766,istiophorus platypterus
fis-22748,chanos chanos
fis-22735,acanthocybium solandri
fis-22747,cetorhinus maximus
fis-22738,auxis rochei
fis-22739,auxis thazard
fis-29391,euthynnus lineatus
fis-29263,alepisaurus ferox
fis-22777,katsuwonus pelamis
fis-21631,sarda chiliensis
fis-22817,sarda orientalis
fis-29506,scomber australasicus
fis-29507,scomber japonicus
fis-29290,argyropelecus aculeatus
fis-29513,scomberomorus sierra
fis-22832,thunnus alalunga
fis-22833,thunnus albacares
fis-22836,thunnus obesus
fis-29441,lutjanus novemfasciatus
fis-29447,makaira nigricans
fis-164254,istiompax indica
fis-163398,kajikia audax
fis-29576,xiphias gladius
fis-22919,oncorhynchus mykiss
fis-22915,oncorhynchus gorbuscha
fis-22916,oncorhynchus keta
fis-22920,oncorhynchus nerka
fis-22921,oncorhynchus tshawytscha
fis-22917,oncorhynchus kisutch
fis-22900,mallotus villosus
fis-22922,osmerus mordax
fis-22880,hypomesus pretiosus
fis-22963,thaleichthys pacificus
fis-22864,cololabis saira
fis-29393,gadus macrocephalus
fis-22874,eleginus gracilis
fis-1918,gadus chalcogrammus
fis-22908,merluccius productus
fis-22897,macroramphosus scolopax
fis-22970,trachurus symmetricus
fis-29523,seriola lalandi
fis-22954,selar crumenophthalmus
fis-47571,elagatis bipinnulata
fis-23135,genyonemus lineatus
fis-23014,arctoscopus japonicus
fis-29268,ammodytes personatus
fis-23215,peprilus simillimus
fis-23264,sebastes entomelas
fis-23265,sebastes flavidus
fis-23262,sebastes alutus
fis-29457,ophiodon elongatus
fis-22996,anoplopoma fimbria
fis-29418,hippoglossus stenolepis
fis-23237,reinhardtius hippoglossoides
fis-23030,atheresthes stomias
fis-29417,hippoglossoides elassodon
fis-29338,chlamydoselachus anguineus
fis-23157,hexanchus griseus
fis-29367,echinorhinus cookei
fis-23127,euprotomicrus bispinatus
fis-23161,isistius brasiliensis
fis-61628,zameus squamulosus
fis-29541,squatina californica
fis-23150,heterodontus francisci
fis-23198,odontaspis ferox
fis-23071,carcharodon carcharias
fis-58485,isurus oxyrinchus
fis-29423,isurus paucus
fis-23185,maurolicus muelleri
fis-29426,lamna ditropis
fis-22998,apristurus brunneus
fis-29281,apristurus kampae
fis-29454,mugil cephalus
fis-23085,cephaloscyllium ventriosum
fis-23213,parmaturus xaniurus
fis-23045,carcharhinus altimus
fis-23050,carcharhinus brachyurus
fis-23054,carcharhinus falciformis
fis-23059,carcharhinus leucas
fis-23060,carcharhinus limbatus
fis-23061,carcharhinus longimanus
fis-23064,carcharhinus obscurus
fis-23066,carcharhinus plumbeus
fis-23129,galeocerdo cuvier
fis-23222,prionace glauca
fis-23241,rhizoprionodon longurio
fis-23273,sphyrna lewini
fis-29530,sphyrna media
fis-23274,sphyrna mokarran
fis-23275,sphyrna tiburo
fis-23277,sphyrna zygaena
fis-22975,ablennes hians
fis-22977,alectis ciliaris
fis-23106,decapterus macarellus
fis-22187,decapterus tabl
fis-23192,naucrates ductor
fis-23749,pseudocaranx dentex
fis-23806,seriola dumerili
fis-22208,seriola rivoliana
fis-23882,uraspis secunda
fis-29912,diodon hystrix
fis-23465,cheilopogon furcatus
fis-30017,exocoetus obtusirostris
fis-30018,exocoetus volitans
fis-50817,fodiator acutus
fis-23550,hirundichthys rondeletii
fis-23551,hirundichthys speculiger
fis-23715,parexocoetus brachypterus
fis-30041,gempylus serpens
fis-23582,lepidocybium flavobrunneum
fis-30588,ruvettus pretiosus
fis-22225,eucinostomus argenteus
fis-23580,lampris guttatus
fis-23742,heteropriacanthus cruentatus
fis-23838,stephanolepis setifer
fis-23821,sphyraena barracuda
fis-23560,hypoatherina temminckii
fis-29731,beryx decadactylus
fis-29732,beryx splendens
fis-23615,lutjanus argentiventris
fis-54081,sardinops sagax
fis-30439,opisthonema medirastre
fis-153539,clupea pallasii
fis-29948,engraulis mordax
fis-23345,anchoa compressa
fis-29723,bathophilus nigerrimus
fis-23484,electrona risso
fis-30255,luvarus imperialis
fis-23637,microstoma microstoma
fis-23639,mola mola
fis-23758,ranzania laevis
fis-23759,remora remora
fis-30711,tetragonurus cuvieri
fis-29880,cyclothone braueri
fis-23454,cyclothone microdon
fis-23893,zu cristatus
fis-23888,vinciguerria attenuata
fis-23889,vinciguerria poweriae
fis-29801,chauliodus sloani
fis-23605,lobianchia gemellarii
fis-23562,ichthyococcus ovatus
fis-49778,chlorophthalmus agassizi
fis-23635,microgadus proximus
fis-29758,caranx caballus
fis-29759,caranx caninus
fis-23420,carangoides hedlandensis
fis-23425,carangoides oblongus
fis-29810,chloroscombrus orqueta
fis-29908,decapterus macrosoma
fis-30433,oligoplites refulgens
fis-23800,scomberoides tol
fis-30649,selene peruviana
fis-30732,trachinotus paitensis
fis-23866,trachinotus rhodopus
fis-23867,trachinotus stilbe
fis-23881,uraspis helvola
fis-23905,antimora rostrata
fis-29650,antimora microlepis
fis-30085,halargyreus johnsonii
fis-172567,mobula birostris
fis-30583,rhincodon typus
fis-29669,argyropelecus gigas
fis-64697,melanocetus johnsonii
fis-23904,anoplogaster cornuta
fis-30039,gasterosteus aculeatus
fis-24151,nomeus gronovii
fis-22182,echeneis naucrates
fis-24017,eptatretus deani
fis-24018,eptatretus stoutii
fis-48267,lampetra ayresii
fis-63912,lethenteron camtschaticum
fis-48258,entosphenus tridentatus
fis-24153,notorynchus cepedianus
fis-23898,alopias superciliosus
fis-23899,alopias vulpinus
fis-30323,mustelus californicus
fis-24133,mustelus henlei
fis-30324,mustelus lunulatus
fis-30664,somniosus pacificus
fis-24278,platyrhinoidis triseriata
fis-171720,pseudobatos productus
fis-24394,zapteryx exasperata
fis-171607,tetronarce californica
fis-24308,bathyraja aleutica
fis-169067,beringraja binoculata
fis-173420,beringraja inornata
fis-24310,bathyraja interrupta
fis-24311,bathyraja parmifera
fis-173421,beringraja rhina
fis-173422,beringraja stellulata
fis-24315,bathyraja trachura
fis-172355,hypanus dipterurus
fis-20033,pteroplatytrygon violacea
fis-24045,gymnura marmorata
fis-30753,urobatis halleri
fis-30330,myliobatis californica
fis-21798,mobula mobular
fis-24127,mobula thurstoni
fis-24068,hydrolagus colliei
fis-29588,acipenser medirostris
fis-29594,acipenser transmontanus
fis-29936,elops affinis
fis-24042,gymnothorax mordax
fis-30335,myrophis vafer
fis-24227,ophichthus triserialis
fis-24228,ophichthus zophochir
fis-30349,nemichthys scolopaceus
fis-30362,notacanthus chemnitzii
fis-156254,oncorhynchus clarkii
fis-24332,salvelinus malma
fis-23897,allosmerus elongatus
fis-24353,spirinchus starksi
