iucn_sid,sciname,common,subpop,habs,max_depth,cat,cat_score
222,acipenser brevirostrum,shortnose sturgeon,NA,"10.1, 12.5, 9.1",200 m +,vu,0.4
224,acipenser naccarii,adriatic sturgeon,NA,"9.1, 9.4, 9.5, 9.6",< 200 m,cr,0.8
225,acipenser nudiventris,ship sturgeon,NA,9.1,< 200 m,cr,0.8
229,acipenser stellatus,stellate sturgeon,NA,"9.1, 9.4, 9.5, 9.6",< 200 m,cr,0.8
230,acipenser sturio,atlantic sturgeon,NA,"9.1, 9.3, 9.4, 9.5, 9.6",< 200 m,cr,0.8
232,acipenser gueldenstaedtii,russian sturgeon,NA,"9.1, 9.4, 9.5, 9.6",< 200 m,cr,0.8
233,acipenser medirostris,green sturgeon,NA,"10.1, 9.1",200 m +,nt,0.2
234,acipenser transmontanus,white sturgeon,NA,"10.1, 9.1",200 m +,lc,0
235,acipenser persicus,persian sturgeon,NA,"9.1, 9.4, 9.5, 9.6",< 200 m,cr,0.8
236,acipenser sinensis,chinese sturgeon,NA,9.1,< 200 m,cr,0.8
241,acipenser mikadoi,sakhalin sturgeon,NA,"9.1, 9.4, 9.5, 9.6",< 200 m,cr,0.8
242,acipenser oxyrinchus ssp. desotoi,gulf sturgeon,NA,"10.1, 12.4, 12.5, 9.1",200 m +,vu,0.4
243,acipenser oxyrinchus ssp. oxyrinchus,atlantic sturgeon,NA,"10.1, 9.1",200 m +,nt,0.2
245,acipenser oxyrinchus,atlantic sturgeon,NA,"10.1, 12.4, 12.5, 9.1",200 m +,nt,0.2
678,agathothoma finalis,NA,NA,NA,unknown,dd,NA
907,alosa immaculata,NA,NA,9.1,< 200 m,vu,0.4
908,alosa alabamae,alabama shad,NA,"12.2, 9.1, 9.1, 9.3, 9.4, 9.5",< 200 m,nt,0.2
1086,amblyrhynchus cristatus,marine iguana,NA,"12.1, 12.2, 12.3, 12.4, 9.2",< 200 m,vu,0.4
1308,anisotremus moricandi,brownstriped grunt,NA,"12.6, 15.11, 9.1, 9.2, 9.8",< 200 m,lc,0
1615,choranthias salmopunctatus,NA,NA,"9.2, 9.3, 9.4, 9.5, 9.6",< 200 m,lc,0
1793,aonyx capensis,african clawless otter,NA,"12.5, 9.1",< 200 m,nt,0.2
1866,aplochiton marinus,NA,NA,NA,unknown,dd,NA
2055,arctocephalus australis,south american fur seal,NA,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +,lc,0
2057,arctocephalus galapagoensis,galápagos fur seal,NA,"10.1, 12.1, 13.1, 9.1",200 m +,en,0.6
2058,arctocephalus gazella,antarctic fur seal,NA,"10.1, 12.1, 13.1, 9.1",200 m +,lc,0
2059,arctocephalus philippii,juan fernández fur seal,NA,"10.1, 12.1, 13.1, 9.1, 9.2",200 m +,lc,0
2060,arctocephalus pusillus,afro-australian fur seal,NA,"10.1, 12.1, 13.1, 9.1",200 m +,lc,0
2061,arctocephalus townsendi,guadalupe fur seal,NA,"10.1, 12.1, 13.1, 9.1, 9.2",200 m +,lc,0
2062,arctocephalus tropicalis,subantarctic fur seal,NA,"10.1, 12.1, 13.1, 9.1",200 m +,lc,0
2064,arctocephalus australis ssp. australis,south american fur seal,NA,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +,lc,0
2066,arctocephalus pusillus ssp. pusillus,cape fur seal,NA,"10.1, 12.1, 13.1, 9.1",200 m +,lc,0
2067,arctocephalus pusillus ssp. doriferus,australian fur seal,NA,"10.1, 12.1, 13.1, 9.1",200 m +,lc,0
2113,arius madagascariensis,madagascar sea catfish,NA,9.10,< 200 m,lc,0
2179,assiminea infirma,badwater snail,NA,NA,unknown,vu,0.4
2181,assiminea palauensis,NA,NA,NA,unknown,dd,NA
2182,assiminea pecos,pecos assiminea,NA,NA,unknown,en,0.6
2218,astraea heliotropium,NA,NA,NA,unknown,lc,0
2352,atherina boyeri,black sea silverside,NA,"9.1, 9.10",< 200 m,lc,0
2467,balaena mysticetus,bowhead whale,NA,"10.1, 9.1",200 m +,lc,0
2468,balaena mysticetus,bowhead whale bering-chukchi-beaufort seas subpopulation,bering-chukchi-beaufort sea subpopulation,10.1,200 m +,vu,0.4
2469,balaena mysticetus,okhotsk sea bowhead whale,okhotsk sea subpopulation,9.1,< 200 m,en,0.6
2472,balaena mysticetus,bowhead whale,east greenland-svalbard-barents sea subpopulation,"10.1, 9.1",200 m +,en,0.6
2474,balaenoptera acutorostrata,common minke whale,NA,"10.1, 9.1",200 m +,lc,0
2475,balaenoptera borealis,sei whale,NA,"10.1, 9.1",200 m +,en,0.6
2476,balaenoptera edeni,rice's whale,NA,"10.1, 10.2, 9.1",200 m +,lc,0
2477,balaenoptera musculus,blue whale,NA,"10.1, 10.2, 9.1",200 m +,en,0.6
2478,balaenoptera physalus,fin whale,NA,"10.1, 9.1",200 m +,vu,0.4
2480,balaenoptera bonaerensis,antarctic minke whale,NA,"10.1, 9.1",200 m +,nt,0.2
2539,balistes vetula,queen triggerfish,NA,"9.2, 9.4, 9.7, 9.8, 9.8.3, 9.9",< 200 m,nt,0.2
2621,bathygobius burtoni,NA,NA,"12.1, 12.6",< 20 m,en,0.6
2636,bathyraja abyssicola,deepsea skate,NA,11.1,deep oceanic,dd,NA
2637,batillaria mutata,NA,NA,NA,unknown,dd,NA
2644,batrachoides manglae,cotuero toadfish,NA,"12.7, 9.6",< 200 m,lc,0
2762,berardius arnuxii,arnoux's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
2763,berardius bairdii,baird's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
2811,birgus latro,coconut crab,NA,13.1,unknown,vu,0.4
2895,bostrychus zonatus,sunset gudgeon,NA,"12.6, 12.7, 9.10",< 200 m,lc,0
2958,brachionichthys hirsutus,spotted handfish,NA,"9.10, 9.3",< 200 m,cr,0.8
3381,butis butis,crimson-tipped gudgeon,NA,"12.6, 12.7, 9.10",< 200 m,lc,0
3565,callionymus sanctaehelenae,st helena dragonet,NA,NA,unknown,cr,0.8
3590,callorhinus ursinus,northern fur seal,NA,"10.1, 12.1, 13.1, 9.1",200 m +,vu,0.4
3764,canthigaster rapaensis,NA,NA,"9.8, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m,en,0.6
